flight_number,airline,flight_date,direction,scheduled_time_local,scheduled_time_utc,actual_time_local,actual_time_utc,status,is_cancelled,origin_icao,origin_iata,destination_icao,destination_iata,aircraft_model,aircraft_reg,relevant_timestamp,actual_temp_c,actual_wind_speed_kmh,actual_wind_gusts_kmh,actual_precipitation_mm,actual_snowfall_cm,actual_visibility_m,actual_cloud_cover_pct,actual_weather_code,forecast_temp_c,forecast_wind_speed_kmh,forecast_wind_gusts_kmh,forecast_precipitation_mm,forecast_snowfall_cm,forecast_visibility_m,forecast_cloud_cover_pct,forecast_weather_code,forecast_error_visibility_m,forecast_error_wind_kmh,forecast_error_snowfall_cm
AS 2152,Alaska,2025-07-09,Arrival,2025-07-09 13:03-07:00,2025-07-09 20:03Z,2025-07-09 13:36-07:00,2025-07-09 20:36Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N659QX,2025-07-09T13:00:00,28.6,23.2,49.0,0.0,0.0,,14,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-09,Arrival,2025-07-09 18:43-07:00,2025-07-10 01:43Z,2025-07-09 18:28-07:00,2025-07-10 01:28Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N664QX,2025-07-09T19:00:00,26.2,11.5,34.9,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-10,Departure,2025-07-10 06:03-07:00,2025-07-10 13:03Z,2025-07-10 06:12-07:00,2025-07-10 13:12Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N639QX,2025-07-10T06:00:00,17.5,17.0,33.1,0.0,0.0,,4,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-10,Departure,2025-07-10 13:40-07:00,2025-07-10 20:40Z,2025-07-10 13:37-07:00,2025-07-10 20:37Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N656QX,2025-07-10T14:00:00,26.2,24.5,50.0,0.0,0.0,,41,1,,,,,,,,,,,
AS 2439,Alaska,2025-07-10,Departure,2025-07-10 19:23-07:00,2025-07-11 02:23Z,2025-07-10 20:00-07:00,2025-07-11 03:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N622QX,2025-07-10T19:00:00,23.8,5.5,24.8,0.0,0.0,,34,1,,,,,,,,,,,
AS 2439,Alaska,2025-07-10,Departure,2025-07-10 19:23-07:00,2025-07-11 02:23Z,2025-07-10 20:00-07:00,2025-07-11 03:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N622QX,2025-07-10T19:00:00,23.8,5.5,24.8,0.0,0.0,,34,1,,,,,,,,,,,
AS 2364,Alaska,2025-07-10,Arrival,2025-07-10 00:09-07:00,2025-07-10 07:09Z,2025-07-10 00:01-07:00,2025-07-10 07:01Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N639QX,2025-07-10T00:00:00,20.2,16.5,29.5,0.0,0.0,,7,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-10,Arrival,2025-07-10 13:03-07:00,2025-07-10 20:03Z,2025-07-10 12:47-07:00,2025-07-10 19:47Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N656QX,2025-07-10T13:00:00,25.0,23.4,49.3,0.0,0.0,,22,1,,,,,,,,,,,
AS 2438,Alaska,2025-07-10,Arrival,2025-07-10 18:43-07:00,2025-07-11 01:43Z,2025-07-10 18:49-07:00,2025-07-11 01:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N622QX,2025-07-10T19:00:00,23.8,5.5,24.8,0.0,0.0,,34,1,,,,,,,,,,,
AS 2364,Alaska,2025-07-10,Arrival,2025-07-11 00:09-07:00,2025-07-11 07:09Z,2025-07-10 23:44-07:00,2025-07-11 06:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N645QX,2025-07-11T00:00:00,19.3,4.2,5.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-11,Departure,2025-07-11 06:03-07:00,2025-07-11 13:03Z,2025-07-11 06:03-07:00,2025-07-11 13:03Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N645QX,2025-07-11T06:00:00,16.8,7.3,14.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-11,Departure,2025-07-11 13:40-07:00,2025-07-11 20:40Z,2025-07-11 13:52-07:00,2025-07-11 20:52Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N664QX,2025-07-11T14:00:00,27.9,9.4,25.6,0.0,0.0,,97,3,,,,,,,,,,,
AS 2439,Alaska,2025-07-11,Departure,2025-07-11 19:23-07:00,2025-07-12 02:23Z,2025-07-11 19:30-07:00,2025-07-12 02:30Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N651QX,2025-07-11T19:00:00,24.6,5.7,17.3,0.0,0.0,,1,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-11,Arrival,2025-07-11 13:03-07:00,2025-07-11 20:03Z,2025-07-11 12:58-07:00,2025-07-11 19:58Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N664QX,2025-07-11T13:00:00,27.5,9.0,25.2,0.0,0.0,,4,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-11,Arrival,2025-07-11 18:43-07:00,2025-07-12 01:43Z,2025-07-11 18:26-07:00,2025-07-12 01:26Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N651QX,2025-07-11T19:00:00,24.6,5.7,17.3,0.0,0.0,,1,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-11,Arrival,2025-07-12 00:09-07:00,2025-07-12 07:09Z,2025-07-11 23:49-07:00,2025-07-12 06:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N650QX,2025-07-12T00:00:00,20.3,3.0,6.5,0.0,0.0,,2,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-12,Departure,2025-07-12 06:03-07:00,2025-07-12 13:03Z,2025-07-12 06:00-07:00,2025-07-12 13:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N650QX,2025-07-12T06:00:00,20.2,4.5,9.0,0.0,0.0,,93,3,,,,,,,,,,,
AS 2132,Alaska,2025-07-12,Departure,2025-07-12 13:40-07:00,2025-07-12 20:40Z,2025-07-12 13:54-07:00,2025-07-12 20:54Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N637QX,2025-07-12T14:00:00,30.0,14.8,33.1,0.0,0.0,,29,1,,,,,,,,,,,
AS 2439,Alaska,2025-07-12,Departure,2025-07-12 19:23-07:00,2025-07-13 02:23Z,2025-07-12 19:43-07:00,2025-07-13 02:43Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N623QX,2025-07-12T19:00:00,26.8,6.5,19.4,0.0,0.0,,0,0,,,,,,,,,,,
FDJ 268,FDJ,2025-07-12,Arrival,2025-07-12 13:07-07:00,2025-07-12 20:07Z,2025-07-12 13:07-07:00,2025-07-12 20:07Z,Expected,False,KASE,ASE,KPUW,PUW,EA50,N268EM,2025-07-12T13:00:00,29.5,13.9,32.8,0.0,0.0,,6,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-12,Arrival,2025-07-12 13:03-07:00,2025-07-12 20:03Z,2025-07-12 13:14-07:00,2025-07-12 20:14Z,Arrived,False,KSEA,SEA,KPUW,PUW,Embraer 175,N637QX,2025-07-12T13:00:00,29.5,13.9,32.8,0.0,0.0,,6,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-12,Arrival,2025-07-12 18:43-07:00,2025-07-13 01:43Z,2025-07-12 18:54-07:00,2025-07-13 01:54Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N623QX,2025-07-12T19:00:00,26.8,6.5,19.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-12,Arrival,2025-07-13 00:09-07:00,2025-07-13 07:09Z,2025-07-12 23:44-07:00,2025-07-13 06:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N624QX,2025-07-13T00:00:00,22.5,4.5,8.3,0.0,0.0,,3,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-13,Departure,2025-07-13 06:03-07:00,2025-07-13 13:03Z,2025-07-13 06:01-07:00,2025-07-13 13:01Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N624QX,2025-07-13T06:00:00,22.3,9.6,16.6,0.0,0.0,,5,0,,,,,,,,,,,
FDJ 268,FDJ,2025-07-13,Departure,2025-07-13 10:12-07:00,2025-07-13 17:12Z,2025-07-13 10:12-07:00,2025-07-13 17:12Z,Departed,False,KPUW,PUW,KASE,ASE,EA50,N268EM,2025-07-13T10:00:00,29.2,9.7,24.5,0.0,0.0,,17,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-13,Departure,2025-07-13 13:40-07:00,2025-07-13 20:40Z,2025-07-13 13:54-07:00,2025-07-13 20:54Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N663QX,2025-07-13T14:00:00,32.6,7.5,22.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-07-13,Departure,2025-07-13 19:23-07:00,2025-07-14 02:23Z,2025-07-13 19:29-07:00,2025-07-14 02:29Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N655QX,2025-07-13T19:00:00,28.7,6.3,10.8,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-13,Arrival,2025-07-13 13:03-07:00,2025-07-13 20:03Z,2025-07-13 12:58-07:00,2025-07-13 19:58Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N663QX,2025-07-13T13:00:00,32.2,7.7,24.1,0.0,0.0,,5,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-13,Arrival,2025-07-13 18:43-07:00,2025-07-14 01:43Z,2025-07-13 18:28-07:00,2025-07-14 01:28Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N655QX,2025-07-13T19:00:00,28.7,6.3,10.8,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-13,Arrival,2025-07-14 00:09-07:00,2025-07-14 07:09Z,2025-07-13 23:51-07:00,2025-07-14 06:51Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N664QX,2025-07-14T00:00:00,24.5,8.7,14.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-14,Departure,2025-07-14 06:03-07:00,2025-07-14 13:03Z,2025-07-14 06:12-07:00,2025-07-14 13:12Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N664QX,2025-07-14T06:00:00,21.5,13.2,23.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-14,Departure,2025-07-14 13:40-07:00,2025-07-14 20:40Z,2025-07-14 13:56-07:00,2025-07-14 20:56Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N646QX,2025-07-14T14:00:00,31.1,19.4,42.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-07-14,Departure,2025-07-14 19:23-07:00,2025-07-15 02:23Z,2025-07-14 19:27-07:00,2025-07-15 02:27Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N638QX,2025-07-14T19:00:00,28.3,16.0,36.7,0.0,0.0,,3,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-14,Arrival,2025-07-14 13:03-07:00,2025-07-14 20:03Z,2025-07-14 12:53-07:00,2025-07-14 19:53Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N646QX,2025-07-14T13:00:00,30.3,20.1,45.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-14,Arrival,2025-07-14 18:43-07:00,2025-07-15 01:43Z,2025-07-14 18:39-07:00,2025-07-15 01:39Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N638QX,2025-07-14T19:00:00,28.3,16.0,36.7,0.0,0.0,,3,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-14,Arrival,2025-07-15 00:09-07:00,2025-07-15 07:09Z,2025-07-14 23:51-07:00,2025-07-15 06:51Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N637QX,2025-07-15T00:00:00,20.4,11.2,25.9,0.0,0.0,,10,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-15,Departure,2025-07-15 06:03-07:00,2025-07-15 13:03Z,2025-07-15 06:02-07:00,2025-07-15 13:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N637QX,2025-07-15T06:00:00,15.6,8.9,20.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-15,Departure,2025-07-15 13:40-07:00,2025-07-15 20:40Z,2025-07-15 14:02-07:00,2025-07-15 21:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N625QX,2025-07-15T14:00:00,25.5,16.9,35.3,0.0,0.0,,86,3,,,,,,,,,,,
AS 2439,Alaska,2025-07-15,Departure,2025-07-15 19:23-07:00,2025-07-16 02:23Z,2025-07-15 19:32-07:00,2025-07-16 02:32Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N637QX,2025-07-15T19:00:00,21.7,17.1,36.7,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-15,Arrival,2025-07-15 13:03-07:00,2025-07-15 20:03Z,2025-07-15 12:57-07:00,2025-07-15 19:57Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N625QX,2025-07-15T13:00:00,25.3,14.1,31.7,0.0,0.0,,95,3,,,,,,,,,,,
JL 605,Jet Linx Aviation,2025-07-15,Arrival,2025-07-15 14:55-07:00,2025-07-15 21:55Z,2025-07-15 15:40-07:00,2025-07-15 22:40Z,Expected,False,KPDT,PDT,KPUW,PUW,Bombardier Challenger 600,N605CS,2025-07-15T15:00:00,26.0,19.9,40.7,0.0,0.0,,92,3,,,,,,,,,,,
AS 2438,Alaska,2025-07-15,Arrival,2025-07-15 18:43-07:00,2025-07-16 01:43Z,2025-07-15 18:32-07:00,2025-07-16 01:32Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N637QX,2025-07-15T19:00:00,21.7,17.1,36.7,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-15,Arrival,2025-07-16 00:09-07:00,2025-07-16 07:09Z,2025-07-15 23:44-07:00,2025-07-16 06:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N654QX,2025-07-16T00:00:00,16.0,11.7,24.8,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-16,Departure,2025-07-16 06:03-07:00,2025-07-16 13:03Z,2025-07-16 06:00-07:00,2025-07-16 13:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N654QX,2025-07-16T06:00:00,14.9,9.6,18.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-16,Departure,2025-07-16 13:40-07:00,2025-07-16 20:40Z,2025-07-16 14:00-07:00,2025-07-16 21:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N637QX,2025-07-16T14:00:00,26.5,8.1,23.0,0.0,0.0,,0,0,,,,,,,,,,,
JL 605,Jet Linx Aviation,2025-07-16,Departure,2025-07-16 16:00-07:00,2025-07-16 23:00Z,2025-07-16 16:31-07:00,2025-07-16 23:31Z,Departed,False,KPUW,PUW,KIAD,IAD,Bombardier Challenger 600,N605CS,2025-07-16T16:00:00,26.9,7.1,21.6,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-07-16,Departure,2025-07-16 19:23-07:00,2025-07-17 02:23Z,2025-07-16 19:43-07:00,2025-07-17 02:43Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N655QX,2025-07-16T19:00:00,23.5,5.4,15.1,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-16,Arrival,2025-07-16 13:03-07:00,2025-07-16 20:03Z,2025-07-16 13:06-07:00,2025-07-16 20:06Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N637QX,2025-07-16T13:00:00,25.8,7.3,22.3,0.0,0.0,,0,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-16,Arrival,2025-07-16 18:43-07:00,2025-07-17 01:43Z,2025-07-16 18:40-07:00,2025-07-17 01:40Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N655QX,2025-07-16T19:00:00,23.5,5.4,15.1,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-16,Arrival,2025-07-17 00:09-07:00,2025-07-17 07:09Z,2025-07-16 23:44-07:00,2025-07-17 06:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N642QX,2025-07-17T00:00:00,19.5,1.7,4.7,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-17,Departure,2025-07-17 06:03-07:00,2025-07-17 13:03Z,2025-07-17 06:03-07:00,2025-07-17 13:03Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N642QX,2025-07-17T06:00:00,18.9,7.1,14.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-17,Departure,2025-07-17 13:40-07:00,2025-07-17 20:40Z,2025-07-17 13:49-07:00,2025-07-17 20:49Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N648QX,2025-07-17T14:00:00,28.9,17.6,40.3,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-07-17,Departure,2025-07-17 19:23-07:00,2025-07-18 02:23Z,2025-07-17 19:32-07:00,2025-07-18 02:32Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N633QX,2025-07-17T19:00:00,25.0,6.5,20.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-17,Arrival,2025-07-17 13:03-07:00,2025-07-17 20:03Z,2025-07-17 12:54-07:00,2025-07-17 19:54Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N648QX,2025-07-17T13:00:00,28.7,18.9,40.3,0.0,0.0,,0,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-17,Arrival,2025-07-17 18:43-07:00,2025-07-18 01:43Z,2025-07-17 18:31-07:00,2025-07-18 01:31Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N633QX,2025-07-17T19:00:00,25.0,6.5,20.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-07-17,Arrival,2025-07-18 00:09-07:00,2025-07-18 07:09Z,2025-07-17 23:57-07:00,2025-07-18 06:57Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N623QX,2025-07-18T00:00:00,21.8,1.4,2.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-18,Departure,2025-07-18 06:03-07:00,2025-07-18 13:03Z,2025-07-18 06:07-07:00,2025-07-18 13:07Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N623QX,2025-07-18T06:00:00,19.7,5.1,10.8,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-18,Departure,2025-07-18 13:40-07:00,2025-07-18 20:40Z,2025-07-18 14:11-07:00,2025-07-18 21:11Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N620QX,2025-07-18T14:00:00,29.5,13.8,30.2,0.0,0.0,,64,2,,,,,,,,,,,
AS 2439,Alaska,2025-07-18,Departure,2025-07-18 19:23-07:00,2025-07-19 02:23Z,2025-07-18 19:33-07:00,2025-07-19 02:33Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N628QX,2025-07-18T19:00:00,26.4,11.4,30.2,0.0,0.0,,100,3,,,,,,,,,,,
AS 2152,Alaska,2025-07-18,Arrival,2025-07-18 13:03-07:00,2025-07-18 20:03Z,2025-07-18 13:14-07:00,2025-07-18 20:14Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N620QX,2025-07-18T13:00:00,29.0,10.8,25.9,0.0,0.0,,0,0,,,,,,,,,,,
AS 2438,Alaska,2025-07-18,Arrival,2025-07-18 18:43-07:00,2025-07-19 01:43Z,2025-07-18 18:42-07:00,2025-07-19 01:42Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N628QX,2025-07-18T19:00:00,26.4,11.4,30.2,0.0,0.0,,100,3,,,,,,,,,,,
AS 2364,Alaska,2025-07-18,Arrival,2025-07-19 00:09-07:00,2025-07-19 07:09Z,2025-07-18 23:49-07:00,2025-07-19 06:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N669QX,2025-07-19T00:00:00,21.9,20.9,42.1,0.0,0.0,,98,3,,,,,,,,,,,
AS 2067,Alaska,2025-07-19,Departure,2025-07-19 06:03-07:00,2025-07-19 13:03Z,2025-07-19 06:07-07:00,2025-07-19 13:07Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N669QX,2025-07-19T06:00:00,17.7,17.8,32.8,0.0,0.0,,13,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-19,Departure,2025-07-19 13:40-07:00,2025-07-19 20:40Z,2025-07-19 14:04-07:00,2025-07-19 21:04Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N668QX,2025-07-19T14:00:00,25.9,20.5,43.6,0.0,0.0,,94,3,,,,,,,,,,,
AS 2439,Alaska,2025-07-19,Departure,2025-07-19 19:23-07:00,2025-07-20 02:23Z,2025-07-19 18:50-07:00,2025-07-20 01:50Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N664QX,2025-07-19T19:00:00,22.7,8.8,27.4,0.0,0.0,,97,3,,,,,,,,,,,
AS 2152,Alaska,2025-07-19,Arrival,2025-07-19 13:03-07:00,2025-07-19 20:03Z,2025-07-19 13:06-07:00,2025-07-19 20:06Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N668QX,2025-07-19T13:00:00,25.2,20.7,44.6,0.0,0.0,,83,3,,,,,,,,,,,
AS 2438,Alaska,2025-07-19,Arrival,2025-07-19 18:43-07:00,2025-07-20 01:43Z,2025-07-19 18:27-07:00,2025-07-20 01:27Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N664QX,2025-07-19T19:00:00,22.7,8.8,27.4,0.0,0.0,,97,3,,,,,,,,,,,
AS 2364,Alaska,2025-07-19,Arrival,2025-07-20 00:09-07:00,2025-07-20 07:09Z,2025-07-19 23:49-07:00,2025-07-20 06:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N661QX,2025-07-20T00:00:00,20.0,13.9,27.0,0.0,0.0,,98,3,,,,,,,,,,,
AS 2067,Alaska,2025-07-20,Departure,2025-07-20 06:03-07:00,2025-07-20 13:03Z,2025-07-20 06:03-07:00,2025-07-20 13:03Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N661QX,2025-07-20T06:00:00,16.7,7.6,13.7,0.0,0.0,,4,0,,,,,,,,,,,
AS 2132,Alaska,2025-07-20,Departure,2025-07-20 13:40-07:00,2025-07-20 20:40Z,2025-07-20 16:14-07:00,2025-07-20 23:14Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N645QX,2025-07-20T14:00:00,24.3,14.2,31.0,0.0,0.0,,100,3,,,,,,,,,,,
AS 2439,Alaska,2025-07-20,Departure,2025-07-20 19:23-07:00,2025-07-21 02:23Z,2025-07-20 19:23-07:00,2025-07-21 02:23Z,Expected,False,KPUW,PUW,KSEA,SEA,Embraer 175,N647QX,2025-07-20T19:00:00,21.0,6.4,20.9,0.0,0.0,,100,3,,,,,,,,,,,
AS 2152,Alaska,2025-07-20,Arrival,2025-07-20 13:03-07:00,2025-07-20 20:03Z,2025-07-20 13:55-07:00,2025-07-20 20:55Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N645QX,2025-07-20T13:00:00,24.1,13.2,32.0,0.0,0.0,,100,3,,,,,,,,,,,
AS 2438,Alaska,2025-07-20,Arrival,2025-07-20 18:43-07:00,2025-07-21 01:43Z,2025-07-20 18:35-07:00,2025-07-21 01:35Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N647QX,2025-07-20T19:00:00,21.0,6.4,20.9,0.0,0.0,,100,3,,,,,,,,,,,
AS 2067,Alaska,2025-07-21,Departure,2025-07-21 06:03-07:00,2025-07-21 13:03Z,2025-07-21 06:06-07:00,2025-07-21 13:06Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N647QX,2025-07-21T06:00:00,14.9,2.7,8.6,0.1,0.0,,100,51,,,,,,,,,,,
AS 2132,Alaska,2025-07-21,Departure,2025-07-21 13:40-07:00,2025-07-21 20:40Z,2025-07-21 14:00-07:00,2025-07-21 21:00Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N656QX,2025-07-21T14:00:00,19.8,1.3,13.0,0.2,0.0,,99,51,,,,,,,,,,,
AS 2439,Alaska,2025-07-21,Departure,2025-07-21 19:23-07:00,2025-07-22 02:23Z,2025-07-21 19:30-07:00,2025-07-22 02:30Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N648QX,2025-07-21T19:00:00,18.4,2.5,4.7,0.0,0.0,,31,1,,,,,,,,,,,
AS 2152,Alaska,2025-07-21,Arrival,2025-07-21 13:03-07:00,2025-07-21 20:03Z,2025-07-21 13:01-07:00,2025-07-21 20:01Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N656QX,2025-07-21T13:00:00,20.1,2.3,15.1,0.0,0.0,,94,3,,,,,,,,,,,
AS 2438,Alaska,2025-07-21,Arrival,2025-07-21 18:43-07:00,2025-07-22 01:43Z,2025-07-21 18:30-07:00,2025-07-22 01:30Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N648QX,2025-07-21T19:00:00,18.4,2.5,4.7,0.0,0.0,,31,1,,,,,,,,,,,
AS 2364,Alaska,2025-07-21,Arrival,2025-07-22 00:09-07:00,2025-07-22 07:09Z,2025-07-21 23:55-07:00,2025-07-22 06:55Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N634QX,2025-07-22T00:00:00,13.6,5.8,10.8,0.0,0.0,,14,0,,,,,,,,,,,
AS 2067,Alaska,2025-07-22,Departure,2025-07-22 06:03-07:00,2025-07-22 13:03Z,2025-07-22 06:02-07:00,2025-07-22 13:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N634QX,2025-07-22T06:00:00,14.9,4.6,10.1,0.0,0.0,,24,1,,,,,,,,,,,
AS 2132,Alaska,2025-07-22,Departure,2025-07-22 13:40-07:00,2025-07-22 20:40Z,2025-07-22 15:10-07:00,2025-07-22 22:10Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N669QX,2025-07-22T14:00:00,23.0,12.8,32.8,0.0,0.0,,29,1,,,,,,,,,,,
AS 2439,Alaska,2025-07-22,Departure,2025-07-22 19:23-07:00,2025-07-23 02:23Z,2025-07-22 19:44-07:00,2025-07-23 02:44Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N669QX,2025-07-22T19:00:00,18.9,8.2,21.6,0.0,0.0,,18,0,,,,,,,,,,,
AS 2152,Alaska,2025-07-22,Arrival,2025-07-22 13:03-07:00,2025-07-22 20:03Z,2025-07-22 14:14-07:00,2025-07-22 21:14Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N669QX,2025-07-22T13:00:00,22.6,13.9,33.1,0.0,0.0,,32,1,,,,,,,,,,,
